,label
364,deer
365,truck
366,automobile
367,deer
368,ship
369,frog
370,frog
371,frog
372,frog
373,deer
374,deer
375,dog
376,truck
377,ship
378,ship
379,frog
380,frog
381,cat
382,bird
383,deer
384,deer
385,dog
386,ship
387,truck
388,automobile
389,automobile
390,deer
391,truck
392,deer
393,horse
394,ship
395,bird
396,dog
397,frog
398,frog
399,bird
400,frog
401,frog
402,frog
403,frog
404,frog
405,frog
406,frog
407,ship
408,truck
409,horse
410,truck
411,dog
412,frog
413,frog
414,frog
415,automobile
416,automobile
417,dog
418,deer
419,deer
420,automobile
421,frog
422,frog
423,horse
424,frog
425,deer
426,horse
427,cat
428,frog
429,frog
430,dog
431,ship
432,frog
433,frog
434,frog
435,dog
436,horse
437,horse
438,truck
439,truck
440,truck
441,frog
442,frog
443,frog
444,truck
445,ship
446,dog
447,frog
448,frog
449,truck
450,frog
451,automobile
452,dog
453,frog
454,truck
455,deer
456,deer
457,bird
458,automobile
459,ship
460,ship
461,bird
462,bird
463,frog
464,bird
465,frog
466,frog
467,frog
468,truck
469,dog
470,dog
471,automobile
472,dog
473,truck
474,frog
475,frog
476,truck
477,frog
478,horse
479,bird
480,bird
481,truck
482,truck
483,cat
484,ship
485,ship
486,truck
487,automobile
488,ship
489,ship
490,frog
491,frog
492,dog
493,dog
494,automobile
495,dog
496,truck
497,truck
498,truck
499,truck
500,horse
501,horse
502,ship
503,frog
504,ship
505,ship
506,truck
507,frog
508,frog
509,truck
510,frog
511,frog
512,truck
513,ship
514,frog
515,dog
516,frog
517,frog
518,frog
519,truck
520,dog
521,dog
522,dog
523,horse
524,deer
525,ship
526,frog
527,automobile
528,ship
529,frog
530,frog
531,automobile
532,horse
533,frog
534,frog
535,dog
536,dog
537,ship
538,frog
539,frog
540,frog
541,frog
542,frog
543,frog
544,frog
545,frog
546,frog
547,truck
548,ship
549,ship
550,ship
551,dog
552,deer
553,frog
554,ship
555,truck
556,truck
557,truck
558,truck
559,ship
560,automobile
561,horse
562,deer
563,ship
564,frog
565,frog
566,dog
567,ship
568,ship
569,truck
570,truck
571,truck
572,truck
573,frog
574,cat
575,ship
576,ship
577,automobile
578,ship
579,frog
580,truck
581,truck
582,frog
583,truck
584,frog
585,bird
586,frog
587,frog
588,frog
589,frog
590,frog
591,truck
592,truck
593,horse
594,truck
595,truck
596,frog
597,frog
598,frog
599,frog
600,frog
601,frog
602,horse
603,dog
604,ship
605,ship
606,ship
607,automobile
608,dog
609,frog
610,ship
611,ship
612,automobile
613,truck
614,automobile
615,dog
616,frog
617,horse
618,truck
619,truck
620,frog
621,frog
622,deer
623,deer
624,truck
625,deer
626,horse
627,frog
628,ship
629,ship
630,ship
631,frog
632,truck
633,truck
634,frog
635,automobile
636,frog
637,truck
638,horse
639,frog
640,ship
641,automobile
642,horse
643,horse
644,truck
645,ship
646,frog
647,bird
648,deer
649,horse
650,automobile
651,automobile
652,dog
653,frog
654,frog
655,bird
656,bird
657,frog
658,truck
659,horse
660,ship
661,ship
662,frog
663,dog
664,dog
665,frog
666,frog
667,frog
668,ship
669,frog
670,bird
671,frog
672,horse
673,ship
674,frog
675,automobile
676,deer
677,ship
678,frog
679,frog
680,truck
681,frog
682,deer
683,frog
684,automobile
685,frog
686,horse
687,frog
688,frog
689,dog
690,frog
691,frog
692,frog
693,dog
694,frog
695,frog
696,frog
697,horse
698,horse
699,horse
700,automobile
701,ship
702,frog
703,automobile
704,horse
705,ship
706,horse
707,truck
708,truck
709,truck
710,bird
711,frog
712,ship
713,bird
714,bird
715,frog
716,frog
717,automobile
718,deer
719,deer
720,truck
721,ship
722,bird
723,truck
724,deer
725,bird
726,bird
727,dog
728,deer
729,frog
730,dog
731,dog
732,dog
733,dog
734,frog
735,dog
736,dog
737,ship
738,automobile
739,horse
740,horse
741,truck
742,truck
743,truck
744,truck
745,automobile
746,frog
747,truck
748,dog
749,dog
750,truck
751,frog
752,ship
753,deer
754,truck
755,deer
756,frog
757,automobile
758,automobile
759,cat
760,horse
761,horse
762,ship
763,ship
764,ship
765,frog
766,bird
767,bird
768,bird
769,frog
770,truck
771,frog
772,frog
773,frog
774,ship
775,frog
776,dog
777,automobile
778,ship
779,frog
780,horse
781,horse
782,frog
783,frog
784,frog
785,frog
786,horse
787,horse
788,horse
789,horse
790,truck
791,truck
792,truck
793,ship
794,ship
795,ship
796,automobile
797,automobile
798,automobile
799,ship
800,frog
801,bird
802,frog
803,frog
804,frog
805,automobile
806,cat
807,dog
808,frog
809,frog
810,frog
811,horse
812,truck
813,frog
814,frog
815,dog
816,frog
817,frog
818,frog
819,cat
820,frog
821,frog
822,automobile
823,automobile
824,dog
825,truck
826,frog
827,dog
828,dog
829,horse
830,dog
831,frog
832,frog
833,frog
834,frog
835,frog
836,horse
837,automobile
838,frog
839,frog
840,dog
841,truck
842,ship
843,ship
844,ship
845,ship
846,ship
847,dog
848,horse
849,horse
850,bird
851,frog
852,ship
853,ship
854,truck
855,dog
856,frog
857,frog
858,frog
859,ship
860,ship
861,ship
862,ship
863,frog
864,automobile
865,automobile
866,frog
867,frog
868,ship
869,truck
870,frog
871,dog
872,dog
873,dog
874,automobile
875,frog
876,deer
877,frog
878,frog
879,frog
880,frog
881,frog
882,automobile
883,ship
884,truck
885,bird
886,bird
887,truck
888,deer
889,ship
890,ship
891,ship
892,ship
893,ship
894,truck
895,dog
896,frog
897,bird
898,bird
899,truck
900,automobile
901,automobile
902,automobile
903,ship
904,frog
905,frog
906,ship
907,frog
908,bird
909,dog
910,truck
911,frog
912,frog
913,automobile
914,frog
915,frog
916,frog
917,frog
918,truck
919,frog
920,dog
921,frog
922,frog
923,ship
924,frog
925,automobile
926,horse
927,ship
928,automobile
929,automobile
930,automobile
931,frog
932,dog
933,dog
934,dog
935,automobile
936,automobile
937,frog
938,cat
939,cat
940,bird
941,ship
942,truck
943,dog
944,ship
945,horse
946,automobile
947,frog
948,truck
949,truck
950,truck
951,truck
952,horse
953,dog
954,truck
955,truck
956,deer
957,ship
958,ship
959,frog
960,deer
961,dog
962,frog
963,truck
964,frog
965,truck
966,truck
967,dog
968,dog
969,horse
970,dog
971,frog
972,ship
973,truck
974,bird
975,bird
976,horse
977,dog
978,truck
979,truck
980,frog
981,frog
982,frog
983,frog
984,ship
985,dog
986,frog
987,dog
988,dog
989,automobile
990,automobile
991,dog
992,dog
993,frog
994,dog
995,horse
996,truck
997,dog
998,automobile
999,ship
1000,frog
1001,truck
1002,truck
1003,frog
1004,automobile
1005,truck
1006,automobile
1007,frog
1008,ship
1009,ship
1010,ship
1011,deer
1012,dog
1013,frog
1014,frog
1015,ship
1016,dog
1017,frog
1018,frog
1019,bird
1020,dog
1021,truck
1022,truck
1023,truck
1024,truck
1025,bird
1026,bird
1027,frog
1028,frog
1029,frog
1030,dog
1031,dog
1032,frog
1033,ship
1034,dog
1035,ship
1036,frog
1037,frog
1038,frog
1039,deer
1040,frog
1041,frog
1042,dog
1043,deer
1044,deer
1045,ship
1046,ship
1047,truck
1048,frog
1049,frog
1050,truck
1051,frog
1052,truck
1053,frog
1054,dog
1055,truck
1056,ship
1057,dog
1058,horse
1059,truck
1060,automobile
1061,ship
1062,ship
1063,horse
1064,frog
1065,frog
1066,frog
1067,frog
1068,frog
1069,frog
1070,frog
1071,dog
1072,automobile
1073,automobile
1074,truck
1075,truck
1076,truck
1077,horse
1078,horse
1079,truck
1080,frog
1081,ship
1082,dog
1083,dog
1084,frog
1085,ship
1086,automobile
1087,automobile
1088,frog
1089,dog
1090,horse
1091,automobile
1092,dog
1093,automobile
1094,horse
1095,truck
1096,dog
1097,dog
1098,truck
1099,dog
1100,truck
1101,dog
1102,deer
1103,truck
1104,truck
1105,truck
1106,truck
1107,truck
1108,frog
1109,frog
1110,dog
1111,frog
1112,dog
1113,frog
1114,automobile
1115,automobile
1116,truck
1117,truck
1118,frog
1119,frog
1120,ship
1121,automobile
1122,dog
1123,frog
1124,automobile
1125,bird
1126,truck
1127,frog
1128,frog
1129,frog
1130,bird
1131,ship
1132,ship
1133,ship
1134,frog
1135,dog
1136,truck
1137,frog
1138,frog
1139,automobile
1140,automobile
1141,truck
1142,automobile
1143,automobile
1144,ship
1145,ship
1146,ship
1147,automobile
1148,automobile
1149,frog
1150,automobile
1151,truck
1152,automobile
1153,dog
1154,frog
1155,frog
1156,frog
1157,ship
1158,frog
1159,frog
1160,horse
1161,dog
1162,frog
1163,automobile
1164,automobile
1165,automobile
1166,deer
1167,automobile
1168,automobile
1169,automobile
1170,dog
1171,truck
1172,truck
1173,dog
1174,frog
1175,horse
1176,frog
1177,truck
1178,truck
1179,truck
1180,horse
1181,truck
1182,frog
1183,deer
1184,deer
1185,frog
1186,truck
1187,truck
1188,dog
1189,dog
1190,frog
1191,ship
1192,ship
1193,frog
1194,frog
1195,horse
1196,truck
1197,truck
1198,deer
1199,dog
1200,dog
1201,frog
1202,frog
1203,bird
1204,dog
1205,frog
1206,bird
1207,horse
1208,frog
1209,truck
1210,truck
1211,frog
1212,frog
1213,automobile
1214,dog
1215,dog
1216,dog
1217,ship
1218,truck
1219,horse
1220,horse
1221,horse
1222,bird
1223,dog
1224,truck
1225,frog
1226,deer
1227,deer
1228,bird
1229,frog
1230,ship
1231,ship
1232,ship
1233,frog
1234,truck
1235,truck
1236,truck
1237,truck
1238,dog
1239,ship
1240,frog
1241,frog
1242,ship
1243,truck
1244,bird
1245,frog
1246,ship
1247,frog
1248,dog
1249,horse
1250,horse
1251,ship
1252,bird
1253,truck
1254,truck
1255,truck
1256,truck
1257,frog
1258,horse
1259,dog
1260,frog
1261,frog
1262,ship
1263,ship
1264,truck
1265,frog
1266,dog
1267,frog
1268,bird
1269,frog
1270,frog
1271,truck
1272,frog
1273,frog
1274,automobile
1275,frog
1276,horse
1277,deer
1278,truck
1279,truck
1280,ship
1281,frog
1282,frog
1283,frog
1284,frog
1285,ship
1286,frog
1287,dog
1288,truck
1289,ship
1290,truck
1291,deer
1292,dog
1293,ship
1294,ship
1295,dog
1296,automobile
1297,automobile
1298,automobile
1299,frog
1300,frog
1301,frog
1302,deer
1303,truck
1304,deer
1305,dog
1306,truck
1307,ship
1308,horse
1309,truck
1310,horse
1311,frog
1312,frog
1313,frog
1314,dog
1315,dog
1316,frog
1317,truck
1318,frog
1319,deer
1320,dog
1321,truck
1322,frog
1323,ship
1324,ship
1325,frog
1326,frog
1327,automobile
1328,truck
1329,truck
1330,truck
1331,horse
1332,frog
1333,truck
1334,truck
1335,truck
1336,truck
1337,truck
1338,truck
1339,truck
1340,frog
1341,frog
1342,frog
1343,frog
1344,automobile
1345,deer
1346,frog
1347,frog
1348,dog
1349,ship
1350,ship
1351,frog
1352,frog
1353,horse
1354,ship
1355,ship
1356,dog
1357,truck
1358,ship
1359,ship
1360,deer
1361,deer
1362,deer
1363,deer
1364,dog
1365,truck
1366,bird
1367,dog
1368,frog
1369,ship
1370,frog
1371,horse
1372,truck
1373,truck
1374,truck
1375,frog
1376,dog
1377,dog
1378,deer
1379,truck
1380,truck
1381,truck
1382,truck
1383,frog
1384,ship
1385,ship
1386,bird
1387,frog
1388,frog
1389,frog
1390,frog
1391,truck
1392,ship
1393,ship
1394,dog
1395,frog
1396,bird
1397,bird
1398,bird
1399,ship
1400,ship
1401,frog
1402,automobile
1403,automobile
1404,frog
1405,ship
1406,frog
1407,frog
1408,frog
1409,frog
1410,frog
1411,ship
1412,ship
1413,dog
1414,truck
1415,deer
1416,ship
1417,truck
1418,cat
1419,truck
1420,automobile
1421,frog
1422,frog
1423,automobile
1424,frog
1425,automobile
1426,horse
1427,horse
1428,frog
1429,frog
1430,automobile
1431,frog
1432,truck
1433,truck
1434,truck
1435,truck
1436,bird
1437,frog
1438,truck
1439,truck
1440,truck
1441,horse
1442,horse
1443,ship
1444,deer
1445,ship
1446,ship
1447,frog
1448,automobile
1449,automobile
1450,automobile
1451,deer
1452,dog
1453,frog
1454,frog
1455,horse
1456,frog
1457,frog
1458,frog
1459,truck
1460,horse
1461,deer
1462,frog
1463,truck
1464,automobile
1465,horse
1466,truck
1467,automobile
1468,truck
1469,truck
1470,automobile
1471,frog
1472,horse
1473,truck
1474,truck
1475,cat
1476,frog
1477,frog
1478,truck
1479,deer
1480,automobile
1481,truck
1482,truck
1483,ship
1484,deer
1485,frog
1486,frog
1487,frog
1488,dog
1489,deer
1490,frog
1491,ship
1492,deer
1493,deer
1494,deer
1495,dog
1496,dog
1497,frog
1498,dog
1499,horse
1500,horse
1501,bird
1502,frog
1503,deer
1504,dog
1505,truck
1506,truck
1507,ship
1508,truck
1509,ship
1510,ship
1511,ship
1512,deer
1513,deer
1514,dog
1515,dog
1516,dog
1517,frog
1518,deer
1519,frog
1520,frog
1521,truck
1522,truck
1523,truck
1524,deer
1525,horse
1526,cat
1527,deer
1528,deer
1529,bird
1530,frog
1531,frog
1532,truck
1533,frog
1534,bird
1535,automobile
1536,dog
1537,horse
1538,dog
1539,deer
1540,dog
1541,dog
1542,frog
1543,automobile
1544,dog
1545,horse
1546,horse
1547,frog
1548,frog
1549,ship
1550,dog
1551,horse
1552,truck
1553,truck
1554,frog
1555,dog
1556,frog
1557,frog
1558,ship
1559,ship
1560,frog
1561,frog
1562,truck
1563,frog
1564,horse
1565,ship
1566,truck
1567,frog
1568,frog
1569,frog
1570,deer
1571,deer
1572,automobile
1573,truck
1574,dog
1575,frog
1576,dog
1577,deer
1578,horse
1579,frog
1580,frog
1581,automobile
1582,horse
1583,frog
1584,horse
1585,frog
1586,frog
1587,truck
1588,automobile
1589,ship
1590,ship
1591,truck
1592,dog
1593,dog
1594,dog
1595,dog
1596,dog
1597,frog
1598,frog
1599,horse
1600,horse
1601,dog
1602,dog
1603,truck
1604,frog
1605,truck
1606,dog
1607,horse
1608,horse
1609,bird
1610,bird
1611,ship
1612,ship
1613,truck
1614,frog
1615,frog
1616,dog
1617,frog
1618,truck
1619,truck
1620,truck
1621,truck
1622,truck
1623,truck
1624,frog
1625,truck
1626,truck
1627,truck
1628,dog
1629,frog
1630,frog
1631,dog
1632,frog
1633,ship
1634,truck
1635,dog
1636,dog
1637,automobile
1638,automobile
1639,truck
1640,frog
1641,truck
1642,automobile
1643,frog
1644,ship
1645,ship
1646,ship
1647,frog
1648,frog
1649,truck
1650,frog
1651,horse
1652,horse
1653,truck
1654,truck
1655,horse
1656,frog
1657,dog
1658,dog
1659,ship
1660,frog
1661,automobile
1662,dog
1663,dog
1664,dog
1665,dog
1666,dog
1667,frog
1668,deer
1669,deer
1670,automobile
1671,frog
1672,deer
1673,frog
1674,frog
1675,frog
1676,frog
1677,frog
1678,cat
1679,dog
1680,deer
1681,truck
1682,truck
1683,horse
1684,truck
1685,dog
1686,frog
1687,frog
1688,frog
1689,frog
1690,truck
1691,truck
1692,truck
1693,frog
1694,deer
1695,frog
1696,frog
1697,deer
1698,truck
1699,frog
1700,frog
1701,frog
1702,frog
1703,frog
1704,truck
1705,truck
1706,truck
1707,truck
1708,truck
1709,truck
1710,truck
1711,frog
1712,truck
1713,dog
1714,dog
1715,dog
1716,dog
1717,frog
1718,frog
1719,ship
1720,dog
1721,ship
1722,dog
1723,dog
1724,frog
1725,automobile
1726,truck
1727,truck
1728,truck
1729,bird
1730,bird
1731,frog
1732,truck
1733,truck
1734,dog
1735,frog
1736,bird
1737,ship
1738,ship
1739,horse
1740,dog
1741,deer
1742,frog
1743,deer
1744,frog
1745,truck
1746,dog
1747,bird
1748,automobile
1749,automobile
1750,automobile
1751,automobile
1752,dog
1753,frog
1754,bird
1755,dog
1756,automobile
1757,frog
1758,frog
1759,truck
1760,ship
1761,frog
1762,frog
1763,deer
1764,automobile
1765,deer
1766,frog
1767,frog
1768,horse
1769,ship
1770,frog
1771,frog
1772,automobile
1773,dog
1774,frog
1775,frog
1776,frog
1777,frog
1778,frog
1779,frog
1780,frog
1781,frog
1782,frog
1783,frog
1784,horse
1785,deer
1786,deer
1787,horse
1788,horse
1789,bird
1790,frog
1791,frog
1792,frog
1793,ship
1794,frog
1795,frog
1796,frog
1797,truck
1798,ship
1799,frog
1800,frog
1801,frog
1802,dog
1803,automobile
1804,ship
1805,frog
1806,dog
1807,bird
1808,frog
1809,truck
1810,frog
1811,frog
1812,frog
1813,frog
1814,frog
1815,horse
1816,horse
1817,horse
1818,deer
1819,deer
1820,deer
1821,truck
1822,truck
1823,dog
1824,frog
1825,frog
1826,frog
1827,automobile
1828,truck
1829,truck
1830,truck
1831,truck
1832,truck
1833,dog
1834,dog
1835,frog
1836,ship
1837,frog
1838,frog
1839,frog
1840,deer
1841,deer
1842,dog
1843,frog
1844,frog
1845,deer
1846,deer
1847,dog
1848,ship
1849,ship
1850,dog
1851,dog
1852,dog
1853,bird
1854,bird
1855,truck
1856,deer
1857,deer
1858,deer
1859,deer
1860,cat
1861,dog
1862,frog
1863,ship
1864,ship
1865,bird
1866,frog
1867,frog
1868,bird
1869,truck
1870,truck
1871,truck
1872,bird
1873,bird
1874,ship
1875,frog
1876,deer
1877,frog
1878,horse
1879,horse
1880,horse
1881,frog
1882,frog
1883,frog
1884,frog
1885,frog
1886,frog
1887,horse
1888,horse
1889,horse
1890,dog
1891,horse
1892,horse
1893,automobile
1894,truck
1895,deer
1896,deer
1897,deer
1898,deer
1899,truck
1900,truck
1901,automobile
1902,ship
1903,cat
1904,dog
1905,dog
1906,deer
1907,truck
1908,frog
1909,dog
1910,dog
1911,deer
1912,dog
1913,truck
1914,dog
1915,frog
1916,frog
1917,dog
1918,frog
1919,frog
1920,frog
1921,deer
1922,deer
1923,deer
1924,frog
1925,truck
1926,deer
1927,horse
1928,dog
1929,dog
1930,frog
1931,frog
1932,frog
1933,dog
1934,automobile
1935,ship
1936,frog
1937,deer
1938,deer
1939,frog
1940,frog
1941,automobile
1942,dog
1943,horse
1944,frog
1945,horse
1946,ship
1947,truck
1948,frog
1949,frog
1950,deer
1951,frog
1952,frog
1953,ship
1954,deer
1955,deer
1956,frog
1957,frog
1958,frog
1959,frog
1960,dog
1961,dog
1962,horse
1963,bird
1964,truck
1965,truck
1966,truck
1967,truck
1968,truck
1969,frog
1970,frog
1971,dog
1972,automobile
1973,automobile
1974,ship
1975,ship
1976,truck
1977,dog
1978,frog
1979,frog
1980,dog
1981,dog
1982,dog
1983,frog
1984,frog
1985,frog
1986,frog
1987,frog
1988,dog
1989,frog
1990,frog
1991,frog
1992,dog
1993,frog
1994,dog
1995,dog
1996,dog
1997,ship
1998,frog
1999,dog
2000,ship
2001,truck
2002,dog
2003,horse
2004,ship
2005,frog
2006,automobile
2007,automobile
2008,deer
2009,deer
2010,bird
2011,truck
2012,ship
2013,frog
2014,ship
2015,ship
2016,deer
2017,truck
2018,horse
2019,frog
2020,frog
2021,horse
2022,horse
2023,frog
2024,truck
2025,truck
2026,dog
2027,ship
2028,ship
2029,bird
2030,bird
2031,bird
2032,bird
2033,truck
2034,frog
2035,frog
2036,ship
2037,dog
2038,ship
2039,truck
2040,frog
2041,bird
2042,dog
2043,ship
2044,frog
2045,deer
2046,ship
2047,dog
2048,frog
2049,dog
2050,frog
2051,frog
2052,truck
2053,frog
2054,truck
2055,ship
2056,ship
2057,deer
2058,horse
2059,horse
2060,horse
2061,horse
2062,truck
2063,ship
2064,truck
2065,truck
2066,truck
2067,truck
2068,automobile
2069,frog
2070,frog
2071,frog
2072,frog
2073,frog
2074,automobile
2075,truck
2076,horse
2077,dog
2078,deer
2079,frog
2080,frog
2081,bird
2082,automobile
2083,horse
2084,truck
2085,truck
2086,deer
2087,truck
2088,automobile
2089,horse
2090,horse
2091,horse
2092,horse
2093,frog
2094,frog
2095,frog
2096,ship
2097,ship
2098,dog
2099,horse
2100,frog
2101,automobile
2102,frog
2103,bird
2104,ship
2105,dog
2106,deer
2107,dog
2108,dog
2109,dog
2110,dog
2111,ship
2112,ship
2113,frog
2114,dog
2115,dog
2116,frog
2117,frog
2118,frog
2119,truck
2120,bird
2121,dog
2122,bird
2123,bird
2124,deer
2125,frog
2126,deer
2127,deer
2128,deer
2129,dog
2130,truck
2131,frog
2132,dog
2133,dog
2134,bird
2135,frog
2136,frog
2137,dog
2138,ship
2139,truck
2140,truck
2141,horse
2142,horse
2143,horse
2144,frog
2145,bird
2146,bird
2147,truck
2148,dog
2149,ship
2150,ship
2151,frog
2152,frog
2153,horse
2154,deer
2155,horse
2156,frog
2157,ship
2158,truck
2159,truck
2160,truck
2161,ship
2162,automobile
2163,automobile
2164,frog
2165,frog
2166,dog
2167,ship
2168,ship
2169,ship
2170,ship
2171,truck
2172,ship
2173,ship
2174,truck
2175,bird
2176,dog
2177,dog
2178,dog
2179,frog
2180,automobile
2181,automobile
2182,dog
2183,ship
2184,frog
2185,automobile
2186,automobile
2187,automobile
2188,truck
2189,cat
2190,frog
2191,frog
2192,dog
2193,ship
2194,ship
2195,dog
2196,truck
2197,frog
2198,horse
2199,horse
2200,ship
2201,frog
2202,truck
2203,frog
2204,dog
2205,truck
2206,truck
2207,truck
2208,horse
2209,truck
2210,automobile
2211,frog
2212,frog
2213,ship
2214,ship
2215,truck
2216,automobile
2217,frog
2218,truck
2219,truck
2220,deer
2221,truck
2222,ship
2223,frog
2224,deer
2225,truck
2226,frog
2227,frog
2228,frog
2229,frog
2230,frog
2231,truck
2232,deer
2233,frog
2234,ship
2235,dog
2236,dog
2237,deer
2238,bird
2239,frog
2240,automobile
2241,dog
2242,truck
2243,dog
2244,dog
2245,truck
2246,frog
2247,frog
2248,cat
2249,frog
2250,automobile
2251,deer
2252,horse
2253,frog
2254,frog
2255,frog
2256,dog
2257,dog
2258,deer
2259,frog
2260,horse
2261,frog
2262,automobile
2263,frog
2264,frog
2265,frog
2266,horse
2267,cat
2268,truck
2269,ship
2270,frog
2271,dog
2272,dog
2273,ship
2274,ship
2275,frog
2276,frog
2277,horse
2278,frog
2279,horse
2280,truck
2281,ship
2282,horse
2283,frog
2284,automobile
2285,ship
2286,ship
2287,ship
2288,ship
2289,dog
2290,dog
2291,ship
2292,ship
2293,ship
2294,ship
2295,frog
2296,frog
2297,horse
2298,horse
2299,horse
2300,automobile
2301,deer
2302,deer
2303,truck
2304,frog
2305,frog
2306,dog
2307,ship
2308,ship
2309,frog
2310,ship
2311,bird
2312,frog
2313,automobile
2314,ship
2315,dog
2316,frog
2317,dog
2318,dog
2319,ship
2320,frog
2321,truck
2322,frog
2323,deer
2324,truck
2325,frog
2326,truck
2327,truck
2328,truck
2329,truck
2330,cat
2331,automobile
2332,horse
2333,truck
2334,truck
2335,truck
2336,deer
2337,deer
2338,frog
2339,truck
2340,frog
2341,frog
2342,frog
2343,frog
2344,frog
2345,ship
2346,dog
2347,dog
2348,truck
2349,frog
2350,frog
2351,frog
2352,truck
2353,truck
2354,frog
2355,ship
2356,automobile
2357,frog
2358,automobile
2359,horse
2360,horse
2361,horse
2362,frog
2363,frog
2364,frog
2365,frog
2366,frog
2367,dog
2368,cat
2369,truck
2370,frog
2371,dog
2372,frog
2373,frog
2374,frog
2375,frog
2376,frog
2377,frog
2378,frog
2379,deer
2380,deer
2381,frog
2382,cat
2383,ship
2384,ship
2385,dog
2386,frog
2387,frog
2388,frog
2389,frog
2390,truck
2391,automobile
2392,automobile
2393,truck
2394,frog
2395,automobile
2396,truck
2397,automobile
2398,automobile
2399,frog
2400,horse
2401,frog
2402,frog
2403,deer
2404,deer
2405,frog
2406,automobile
2407,frog
2408,dog
2409,dog
2410,dog
2411,dog
2412,horse
2413,frog
2414,deer
2415,deer
2416,bird
2417,frog
2418,frog
2419,frog
2420,frog
2421,ship
2422,ship
2423,truck
2424,truck
2425,frog
2426,dog
2427,cat
2428,horse
2429,deer
2430,deer
2431,horse
2432,frog
2433,frog
2434,frog
2435,bird
2436,horse
2437,frog
2438,truck
2439,truck
2440,frog
2441,frog
2442,frog
2443,truck
2444,truck
2445,automobile
2446,truck
2447,truck
2448,frog
2449,automobile
2450,truck
2451,bird
2452,bird
2453,frog
2454,frog
2455,ship
2456,truck
2457,truck
2458,bird
2459,frog
2460,frog
2461,frog
2462,bird
2463,bird
2464,ship
2465,ship
